Department,Year,Budget,Actual Expenditure,Personnel Costs,Operational Costs,Capital Expenditures,Overtime Costs,Travel and Training,Supplies and Materials,Maintenance Costs,Revenue Generated,Efficiency Metrics,Notes
Operations,2023,414446,414446,52780,64878,45322,17028,8369,17965,11392,23613,0.9572987532625097,Increased maintenance
HR,2023,498934,434474,55085,42238,13319,10551,8467,24233,17068,959,0.9418624221647638,-
HR,2022,86445,58798,40426,68293,43663,12664,13953,25819,8526,52100,1.0489287916817949,Additional training expenses
Marketing,2024,55796,55796,199269,91298,33401,15704,19865,11404,11642,49717,0.8823826080209094,-
Operations,2022,359362,359362,27485,17213,37228,4320,11551,17159,17350,5936,0.9360648798179897,High overtime costs
Operations,2023,220203,220203,69527,24941,17202,3088,15884,18499,9914,28678,0.6955935052172877,-
Operations,2023,451339,293942,144604,25964,43283,8688,9616,25311,18703,78691,0.5598176727099022,-
IT,2022,189294,189294,111005,36855,25122,10208,15829,27898,15496,23042,1.0161143133833952,Additional training expenses
Operations,2022,336218,179544,78528,68769,38135,8664,19344,28824,14463,84299,0.9283043333607855,Increased maintenance
IT,2023,428232,202254,140631,93504,27585,10080,7897,27200,6287,11642,1.156832281944149,High overtime costs
Marketing,2023,473041,303800,47799,11046,19897,19766,2469,19110,19802,19923,1.1924580891740737,-
IT,2023,348983,59415,197411,24909,26291,7925,14836,19939,9944,81832,1.0930988340489125,Additional training expenses
Marketing,2022,419256,419256,167159,89114,37826,1160,7051,27976,5360,51860,1.1899353017142407,Additional training expenses
Operations,2023,439658,439658,158518,33368,13294,10714,10564,10825,19323,84255,0.9532124076885673,High overtime costs
Operations,2023,118322,118322,114817,81255,9507,4312,9782,8488,6974,9227,0.5643644130159554,Additional training expenses
Marketing,2024,368465,68452,78260,91496,33854,8387,16003,6895,16119,68580,0.5628827774159466,Increased maintenance
HR,2022,280246,280246,165949,99142,20475,18632,2545,7908,8464,99590,1.064983841930069,Additional training expenses
Marketing,2024,160100,160100,175795,25624,49905,19150,7665,6411,7226,75186,0.6658023051266254,-
HR,2024,469204,160205,32943,20352,19334,17935,18198,10457,19223,10412,0.542691745039264,Increased maintenance
IT,2023,347651,68170,161378,90539,23830,2447,3907,16574,10044,99934,0.8305922233144338,Increased maintenance
IT,2022,149244,66259,187856,19223,32278,4309,3731,15135,10625,31040,0.7202520990270379,Additional training expenses
IT,2023,437932,334243,141401,88254,23749,10580,15283,25383,6850,85947,0.91170440389728,High overtime costs
Operations,2022,407395,190721,171527,76851,35511,8310,7685,10448,10932,48842,0.9201057239725928,High overtime costs
IT,2024,335950,179394,181046,60044,42469,3496,8273,13847,15738,19500,0.9770507008253582,High overtime costs
HR,2022,180364,180364,47371,97089,45185,1716,11898,27676,15916,38433,0.9035096263840682,-
IT,2023,349045,222109,118746,95000,30072,19298,13478,13541,16866,80082,0.7666426329092628,Additional training expenses
Marketing,2023,460259,323949,121248,41419,47326,15732,11368,19658,8905,93066,0.5165666895426192,High overtime costs
Marketing,2023,452968,304599,155008,23767,36146,1672,10017,28392,8775,13024,1.1335619276864795,-
Operations,2022,250065,93147,184238,82002,16057,9394,14823,22527,17579,29088,0.7288452108740989,Increased maintenance
Marketing,2024,223688,124280,45727,41028,31427,1455,13621,21781,17875,22828,0.8550054025075997,High overtime costs
HR,2024,102127,102127,134000,57953,46982,14031,8273,5645,5817,89313,0.889856309967096,Increased maintenance
IT,2022,312597,312597,83969,67965,49090,13232,16477,17700,7146,36967,0.720397054317568,High overtime costs
Operations,2023,387576,147841,179440,79776,16036,16340,13632,28990,12774,73948,0.7159366694766254,Additional training expenses
IT,2024,435016,174726,88531,41459,19060,7026,342,25516,13372,49485,0.6826030662337004,Increased maintenance
IT,2023,137362,137362,59097,92331,18607,15438,6940,23618,12096,42440,0.670347341072477,Additional training expenses
HR,2022,323120,126215,186056,34689,40102,3978,18792,15964,12833,98739,0.5212770108309311,-
Marketing,2023,164176,162909,70859,90446,29074,2471,17007,6962,9469,88797,1.1705402211687317,Increased maintenance
Marketing,2024,149122,149122,195363,77982,24773,8309,867,22193,10955,65578,0.9167072411447519,-
IT,2024,382548,323129,173222,13346,37970,367,10668,11473,9719,47313,0.5756469063815239,High overtime costs
Operations,2023,394076,324535,173133,55179,37998,13417,19856,12483,12850,17349,0.9143708944716858,High overtime costs
Marketing,2022,147170,54861,180250,50517,33210,19560,170,9415,19588,94218,0.6625733164657204,High overtime costs
Operations,2023,389851,311968,76790,79678,49088,3374,8769,28002,11014,215,0.7174774358973767,-
Marketing,2022,476904,233000,85696,91606,16683,6773,8259,20848,9958,11427,1.0608177318745922,High overtime costs
Operations,2023,267912,267912,35648,82623,7962,14205,1515,13705,11265,20704,1.120061413175129,Additional training expenses
HR,2024,298178,298178,81779,99288,40095,3812,8192,29909,5441,30432,0.989876725145851,-
Operations,2022,285851,285851,126371,91171,35000,18581,2198,15704,12884,2705,1.152807037584409,-
HR,2022,405933,274402,56672,68916,34137,14351,17285,26203,15484,81598,1.1335189447027447,Increased maintenance
HR,2022,146516,92923,89109,97754,40552,900,14593,21391,14854,41732,0.8858190838652612,High overtime costs
Operations,2024,445233,445233,54593,58575,38571,16576,13037,27199,12658,20495,1.13549266157279,Increased maintenance
HR,2023,57957,57957,164858,55039,48861,2770,7755,17451,14062,95240,0.8814985658264789,-
IT,2024,157724,157724,29815,59955,44164,11540,8986,29516,16066,31233,0.5729917993751393,Increased maintenance
HR,2022,448008,448008,173038,90260,21559,5180,2066,18068,15691,93267,1.0806186955214405,Additional training expenses
Marketing,2023,499198,215912,164866,65871,47404,15308,10011,26798,19631,73658,0.591841725169432,High overtime costs
Operations,2024,325381,223327,182495,70678,49963,17334,18922,15320,19059,73785,0.7211720936902726,-
IT,2022,363730,363730,41302,41351,10691,6679,3907,18208,8212,29656,0.7658549573639897,Increased maintenance
Operations,2022,331396,178165,105140,70693,8532,3606,15600,24330,14848,4946,1.0651001581136597,High overtime costs
Marketing,2024,453923,280314,178907,41433,25733,14678,10246,27120,6896,30207,0.5584756722709754,Additional training expenses
Marketing,2024,215278,215278,93356,84797,22927,257,2596,6844,6089,77417,0.811459025271154,High overtime costs
Marketing,2024,53543,53543,69282,89015,48114,17605,12658,24995,13674,4743,0.8057010677446361,Increased maintenance
HR,2022,225207,225207,148451,25804,18482,14388,19705,20257,5308,18227,0.907512167660496,Additional training expenses
HR,2024,297541,194013,141347,55101,31681,17034,9330,12559,18771,49612,0.7477081472083456,-
Operations,2022,154647,51669,43814,70115,10456,10510,2621,29568,13784,74696,0.9040137487157214,Additional training expenses
Operations,2024,85031,85031,175161,88363,8413,2425,10920,27070,17035,32068,1.1901259959314179,High overtime costs
IT,2022,224001,224001,183818,54700,12085,15011,9357,24449,6018,13521,0.5500844297793812,-
IT,2022,377891,357003,101673,87576,32937,19543,13749,14294,9493,52967,1.1122399197012633,High overtime costs
Operations,2023,367455,105786,71940,29477,25563,397,3841,5679,17756,7292,0.7160406066495539,-
HR,2024,286403,232155,106796,26127,14332,11106,14423,12190,17904,7629,0.8260015053600025,Additional training expenses
Marketing,2024,115867,115867,56476,96718,42575,16944,4558,10347,19727,289,1.0187822381576184,-
Operations,2022,138780,70323,177355,36049,12386,8381,12768,17725,17384,93397,1.1370255244130922,High overtime costs
IT,2022,107196,107196,152841,22473,31337,8396,4339,16561,8261,15791,0.5063528384755989,Increased maintenance
HR,2022,123705,123705,62278,92245,39708,11207,238,25431,12084,42080,0.9635345919984644,Increased maintenance
Operations,2023,370038,56021,198066,71836,34572,3371,17604,18571,9290,64407,0.5486866377477045,Increased maintenance
Operations,2023,399784,351951,35634,52464,38424,3041,17152,16015,12101,88312,0.8679749634197573,-
HR,2022,326735,326735,146259,23714,40271,6844,7388,5009,6357,32246,1.024832061821568,Increased maintenance
Operations,2024,147247,147247,162037,70878,16030,9897,10426,20987,5082,25308,0.6186738989205944,Increased maintenance
HR,2024,229965,163415,178638,44208,18138,17096,7617,17445,13442,19960,1.0346494834296815,High overtime costs
Marketing,2023,50727,50727,72196,97104,20646,3456,8082,20203,14285,80986,0.7166765018676695,Additional training expenses
HR,2023,464575,320855,118679,84683,33812,10876,7579,16023,10411,69318,0.9273857916633741,-
HR,2022,93822,57904,199357,91803,28422,4406,13922,27847,7387,39683,0.9606287270951634,Increased maintenance
HR,2024,415543,114033,150861,51514,15645,13165,6456,10321,6408,45631,0.95428650903873,High overtime costs
Operations,2022,162113,162113,39420,15136,19628,11791,2439,25600,14673,4937,0.5129813573946981,-
Operations,2023,269606,269606,176308,41516,29486,13144,10019,15378,16403,76519,0.6065918054233752,High overtime costs
HR,2024,442575,170035,26218,86982,27409,7649,10065,21079,14290,95970,1.099341883250042,Additional training expenses
Operations,2024,454145,270859,144283,73878,44266,3877,15235,29118,17387,10230,1.1578895908165294,Increased maintenance
IT,2023,440732,236168,84057,55099,27732,19906,12499,12506,8728,96422,0.8945675221449165,-
IT,2022,110091,110091,98609,23188,24425,5651,8391,15219,10294,31994,0.9178799533449731,-
Operations,2022,204591,204591,162298,61188,17195,12818,8369,6456,17084,11710,1.0285214130414735,Increased maintenance
Operations,2024,460609,315237,143108,15560,23722,4112,5542,5043,13924,85978,0.7842737004257754,High overtime costs
HR,2023,477534,337062,30046,46397,21494,4565,9122,12326,5322,61779,0.7296114411424032,Additional training expenses
Marketing,2024,255603,243708,137462,87193,26571,4977,11928,15086,7057,44477,1.037741165947951,-
Operations,2023,406336,239878,129345,48082,39486,19062,2036,12776,8060,31881,0.51979995987544,-
IT,2022,229006,190466,57117,94376,27900,8775,9677,25954,8700,84076,1.1197424016872528,Additional training expenses
HR,2023,422949,174501,149980,51430,5125,10188,18475,23955,10635,63904,0.8086317673549696,-
Operations,2022,209912,209912,156037,60522,24318,841,5550,19892,8384,47529,0.8529600304407667,Additional training expenses
IT,2023,430233,142510,37373,50397,43685,10567,4263,13200,14453,58411,0.9439947103648493,Increased maintenance
IT,2024,139367,139367,65452,86860,48162,4038,15044,10632,13997,4437,0.6920700238316375,Additional training expenses
Marketing,2022,63265,63265,26654,35247,12590,1804,18768,18700,18195,69456,0.9181712440147954,Additional training expenses
HR,2024,448640,285603,182352,93094,39850,8921,12280,6862,14725,14713,0.9851272627950056,High overtime costs
HR,2024,463841,456496,143319,29943,17134,4349,10107,22617,15233,66663,0.5825520149551614,Additional training expenses
Marketing,2022,129622,86303,125646,49460,30230,9655,6326,24509,9225,55753,0.8643295464119393,Increased maintenance
Marketing,2022,210259,77453,46583,51986,20058,14906,13891,9711,17016,74718,0.7305940952990043,-
HR,2024,348073,348073,114242,54514,19301,14879,11126,7457,8456,85406,0.890150407969456,High overtime costs
HR,2024,374036,372839,157432,90908,42861,4946,9028,29585,8664,64388,0.5149060012478209,Additional training expenses
Operations,2024,201611,201611,73968,62385,32039,10359,7721,16196,8096,37495,1.0198762493478175,High overtime costs
Operations,2024,368774,206837,154815,22631,5284,6657,18541,17839,12428,42385,0.6178831531827,Increased maintenance
Marketing,2022,271711,271711,158231,77008,43334,15989,16689,11699,18871,5509,0.9825708633583896,Increased maintenance
Operations,2022,452431,272787,183223,36955,48525,17956,7123,18167,12565,71017,1.0381704385069273,-
IT,2024,220457,88057,151590,57367,45986,13266,18437,13459,9659,26033,1.0268283947106749,Increased maintenance
Operations,2023,181025,181025,36652,40802,23658,6240,5812,12157,14545,36222,1.0722514662086347,Increased maintenance
Operations,2023,137580,137580,133114,80408,33443,9585,3344,17053,5148,50203,0.7154216058270391,Additional training expenses
IT,2022,389606,144655,122489,53341,8972,15776,1208,7714,18720,89194,1.1769792157347045,Increased maintenance
Marketing,2024,163396,163396,193420,23691,31167,16640,18242,25930,10730,30487,0.516672722593848,Increased maintenance
IT,2024,409181,319289,97001,14753,18679,127,19087,12364,19914,63428,0.8368400672804214,Increased maintenance
Operations,2022,145310,145310,144269,11833,49341,9574,1971,20256,12163,19641,0.6891994568396069,-
Marketing,2023,206080,206080,96757,18645,34519,11920,1113,28603,14975,64657,1.017916314892812,Additional training expenses
Operations,2023,361072,353867,44395,50024,30704,14392,983,16998,11262,4867,1.0636562997855084,Additional training expenses
IT,2023,264168,123230,153407,90598,41881,14917,11502,29020,10553,74599,1.0756747692624788,High overtime costs
IT,2022,139876,139876,121978,19635,36948,2205,10963,14583,15467,55984,0.7078328389442833,Increased maintenance
Operations,2023,74976,74976,151572,30064,19378,8513,10354,28925,5614,82047,0.6918983752785687,High overtime costs
HR,2022,295014,295014,144541,19940,15328,10548,2127,14274,15016,24681,0.9738550034949196,High overtime costs
HR,2022,437128,158138,28083,45169,29732,4379,560,29869,13431,95647,1.1497290552082458,Increased maintenance
IT,2024,208698,208698,126598,88647,22673,8067,6652,17271,5912,47455,0.6779436509102688,Additional training expenses
IT,2023,410400,262376,156615,55200,15373,11305,10001,7835,8013,99710,1.13741978958334,Increased maintenance
HR,2022,412681,112040,116171,66329,10720,12148,19316,13013,10409,61138,0.9140229751568866,High overtime costs
HR,2023,240861,158668,140423,61158,10153,12901,8482,29339,18465,21984,1.0165566153547596,-
Operations,2023,447916,248768,26613,39739,11226,10888,12829,18239,16945,64321,0.8079244500554736,High overtime costs
Operations,2024,159331,159331,130033,27793,7976,9708,1909,9205,5158,92473,1.0648000551592736,Additional training expenses
HR,2023,244717,106815,191612,93682,43019,11485,15099,18853,17850,44554,1.1793450249357893,-
Operations,2024,301666,266741,96202,43677,41267,14117,7230,7154,17763,81774,0.6194030119727508,High overtime costs
Operations,2022,319670,162789,177327,76296,24297,14220,12881,26492,5547,8182,0.7698915975001746,Increased maintenance
Marketing,2023,153863,153863,105666,33022,21587,16221,17812,15536,10132,98272,1.1037196522435635,Additional training expenses
Operations,2022,482716,269478,42068,81148,23206,7081,17331,8923,7900,9192,0.623671016621082,-
IT,2023,249121,249121,69057,37265,30935,2371,10719,15046,12674,77159,0.7890744104140243,Additional training expenses
Operations,2022,385510,217644,38946,10530,34633,5016,1348,27468,7265,40256,0.6162805767975792,High overtime costs
Operations,2023,106096,106096,171619,19551,15736,6302,8572,12262,13946,78207,0.9538577811302099,Additional training expenses
HR,2023,188982,188982,105237,38394,46401,6382,9896,8868,5734,5097,0.6668234065396028,-
IT,2023,383329,294533,25769,52987,11971,12607,309,8790,8791,36880,0.766561473778321,Increased maintenance
Operations,2023,100248,100248,175955,58984,14507,11452,19798,16224,16020,67407,0.8437935607775673,-
Operations,2023,255728,255728,81340,78096,30724,15865,5789,23391,9317,17473,0.7079902150610775,Additional training expenses
Marketing,2023,445167,210275,99199,94097,27166,18825,9690,6273,15527,78709,0.9759306512986385,Increased maintenance
Operations,2023,129888,127088,124222,80639,18158,1017,11086,28257,6924,29808,0.5778746180018771,Increased maintenance
